name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse
3751,110.0,,,1.05185,PQ,,0,MISERY HILL,MISERY HILL,1.0,11.0,11.0,IE,-7.8582
3761,110.0,,,1.03179,PQ,,0,MACETOWN,MACETOWN,1.0,11.0,11.0,IE,-5.1641
3781,110.0,,,1.04503,PQ,,0,MCDERMOTT,MCDERMOTT,1.0,11.0,11.0,IE,-4.7759
3801,110.0,,,1.03345,PQ,38071-1,0,MIDLETON,MIDLETON,1.0,10.0,10.0,IE,12.5065
3821,110.0,,,1.03466,PQ,38271-1,0,MEATH HILL,MEATH HILL,1.0,7.0,7.0,IE,-4.7741
3841,110.0,,,1.04519,PQ,,0,MAYNOOTH A,MAYNOOTH A,1.0,11.0,11.0,IE,-3.5894
3842,220.0,,,1.05045,PQ,,0,MAYNOOTH A,MAYNOOTH A,1.0,11.0,11.0,IE,-0.8453
3851,110.0,,,1.03024,PQ,,0,MAYNOOTH B,MAYNOOTH B,1.0,11.0,11.0,IE,-3.9893
3852,220.0,,,1.05094,PQ,,0,MAYNOOTH B,MAYNOOTH B,1.0,11.0,11.0,IE,-1.8739
3861,110.0,,,1.05244,PQ,,0,MILLTOWN,MILLTOWN,1.0,11.0,11.0,IE,-7.7966
3871,110.0,,,1.056,PQ,,0,MILLTOWN,MILLTOWN,1.0,11.0,11.0,IE,-6.3255
3881,110.0,,,1.05082,PQ,38870-1,0,MACROOM,MACROOM,1.0,6.0,6.0,IE,11.6674
3891,110.0,,,1.05,PQ,67044-1,0,CARRIGDANGAN,CARRIGDANGAN,1.0,6.0,6.0,IE,10.8231
3901,110.0,,,1.0402,PQ,,0,MONETEEN,MONETEEN,1.0,5.0,5.0,IE,8.5396
3911,110.0,,,1.03737,PQ,,0,METRO AIRPOR,METRO AIRPOR,1.0,11.0,11.0,IE,-4.809
3921,110.0,,,1.03694,PQ,,0,METRO NORTH,METRO NORTH,1.0,11.0,11.0,IE,-4.8169
3934,380.0,,,1.0681,PQ,,0,MNYPG1,MNYPG1,1.0,4.0,4.0,IE,7.6489
3940,220.0,,,1.05289,PQ,,0,MNYP B,MNYP B,1.0,4.0,4.0,IE,11.2355
3941,110.0,,,1.05539,PQ,39474-4,0,MONEYPOINT,MONEYPOINT,1.0,4.0,4.0,IE,10.0397
3942,220.0,,,1.05289,PQ,,0,MONEYPOINT,MONEYPOINT,1.0,4.0,4.0,IE,11.2355
3944,380.0,,,1.0681,PQ,,0,MONEYPOINT,MONEYPOINT,1.0,4.0,4.0,IE,7.6489
3954,380.0,,,1.0681,PQ,,0,MNYPG2,MNYPG2,1.0,4.0,4.0,IE,7.6489
3961,110.0,,,1.04583,PQ,,0,MARINA,MARINA,1.0,10.0,10.0,IE,11.4044
3981,110.0,,,1.03993,PQ,,0,MUNGRET A,MUNGRET A,1.0,5.0,5.0,IE,8.5292
3991,110.0,,,1.03993,PQ,,0,MUNGRET B,MUNGRET B,1.0,5.0,5.0,IE,8.5298
4001,110.0,,,1.03403,PQ,40014-1,0,MULLINGAR,MULLINGAR,1.0,3.0,3.0,IE,-3.1364
4012,220.0,,,1.05022,PQ,,0,MOORETOWN,MOORETOWN,1.0,11.0,11.0,IE,-1.1492
4021,110.0,,,1.04407,PQ,40202-1,0,MALLOW,MALLOW,1.0,5.0,5.0,IE,9.1182
4041,110.0,,,1.06583,PQ,40471-1,0,MOY,MOY,1.0,2.0,2.0,IE,6.5729
4061,110.0,,,1.05156,PQ,,0,MULLAGHARLIN,MULLAGHARLIN,1.0,7.0,7.0,IE,-4.4092
4071,110.0,,,1.04795,PQ,40771-1,0,MEENTYCAT,MEENTYCAT,1.0,1.0,1.0,IE,-10.873
4081,110.0,,,1.03235,PQ,40871-1,0,MONREAD,MONREAD,1.0,11.0,11.0,IE,-4.7376
4091,110.0,,,1.05085,PQ,40971-1,0,MULREAVY,MULREAVY,1.0,1.0,1.0,IE,-7.6677
4101,110.0,,,1.03801,PQ,,0,NEWBURY,NEWBURY,1.0,11.0,11.0,IE,-4.7687
4111,110.0,,,1.04491,PQ,,0,BANCROFT,BANCROFT,1.0,11.0,11.0,IE,-3.2691
4121,110.0,,,1.02454,PQ,41271-1,0,MULGEETH,MULGEETH,1.0,3.0,3.0,IE,-3.9497
4201,110.0,,,1.02639,PQ,42073-1,0,NEWBRIDGE,NEWBRIDGE,1.0,11.0,11.0,IE,-3.8925
4211,110.0,,,1.05259,PQ,,0,NORTH QUAYS,NORTH QUAYS,1.0,11.0,11.0,IE,-7.7624
4221,110.0,,,1.03413,PQ,42271-1,0,NAVAN,NAVAN,1.0,7.0,7.0,IE,-4.9703
4242,220.0,,,1.05015,PQ,,0,NORTH WALL,NORTH WALL,1.0,11.0,11.0,IE,-1.0876
4261,110.0,,,1.03749,PQ,42672-2,0,NENAGH,NENAGH,1.0,8.0,8.0,IE,7.1524
4281,110.0,,,1.03939,PQ,,0,NANGOR,NANGOR,1.0,11.0,11.0,IE,-8.575
4321,110.0,,,1.03721,PQ,,0,OAKLANDS,OAKLANDS,1.0,9.0,9.0,IE,2.2787
4341,110.0,,,1.04781,PQ,,0,OLDCOURT,OLDCOURT,1.0,10.0,10.0,IE,12.7906
4351,110.0,,,1.04783,PQ,,0,OLDCOURT,OLDCOURT,1.0,10.0,10.0,IE,12.7917
4361,110.0,,,1.03904,PQ,43671-DW,0,OUGHTRAGH,OUGHTRAGH,1.0,5.0,5.0,IE,7.1573
4371,110.0,,,1.06229,PQ,43771-1,0,GLENREE,GLENREE,1.0,2.0,2.0,IE,5.0723
4382,220.0,,,1.07207,PQ,,0,OLDSTREET,OLDSTREET,1.0,4.0,4.0,IE,8.4154
4384,380.0,,,1.07286,PQ,,0,OLDSTREET,OLDSTREET,1.0,4.0,4.0,IE,5.1383
4391,110.0,,,1.03211,PQ,43971-1,0,PHILIPSTOWN,PHILIPSTOWN,1.0,3.0,3.0,IE,-2.073
4401,110.0,,,1.04813,PQ,,0,POPPINTREE,POPPINTREE,1.0,11.0,11.0,IE,-5.2794
4441,110.0,,,1.03434,PQ,,0,POLLAPHUCA,POLLAPHUCA,1.0,11.0,11.0,IE,0.918
4451,110.0,,,1.03885,PQ,,0,POLLAHONEY,POLLAHONEY,1.0,11.0,11.0,IE,1.9007
4461,110.0,,,1.05301,PQ,,0,POOLBEG,POOLBEG,1.0,11.0,11.0,IE,-7.5863
4462,220.0,,,1.05,PQ,,0,POOLBEG NORT,POOLBEG NORT,1.0,11.0,11.0,IE,-1.0318
4471,110.0,,,1.05301,PQ,,0,POOLBEG,POOLBEG,1.0,11.0,11.0,IE,-7.5909
4472,220.0,,,1.05526,PQ,,0,POOLBEG SOUT,POOLBEG SOUT,1.0,11.0,11.0,IE,-3.1072
4481,110.0,,,1.03044,PQ,44806-1,0,PORTLAOISE,PORTLAOISE,1.0,11.0,11.0,IE,0.9206
4491,110.0,,,1.04552,PQ,,0,PELLETSTOWN,PELLETSTOWN,1.0,11.0,11.0,IE,-4.7068
4501,110.0,,,1.04505,PQ,,0,PLATIN,PLATIN,1.0,7.0,7.0,IE,-4.1478
4511,110.0,,,1.05137,PQ,,0,POTTERY ROAD,POTTERY ROAD,1.0,11.0,11.0,IE,-4.0709
4522,220.0,,,1.052,PQ,,0,PROSPECT,PROSPECT,1.0,4.0,4.0,IE,11.3281
4621,110.0,,,1.01667,PQ,,0,RYEBROOK,RYEBROOK,1.0,11.0,11.0,IE,-5.2891
4651,110.0,,,1.05278,PQ,,0,RINGSEND,RINGSEND,1.0,11.0,11.0,IE,-7.7384
4662,220.0,,,1.06736,PQ,,0,RATHCOBICAN,RATHCOBICAN,1.0,11.0,11.0,IE,5.5425
4664,380.0,,,1.06246,PQ,,0,RATHCOBICAN,RATHCOBICAN,1.0,11.0,11.0,IE,5.5454
4671,110.0,,,1.0376,PQ,46771-1,0,RAPPAREEHILL,RAPPAREEHILL,1.0,3.0,3.0,IE,1.3417
4681,110.0,,,1.03723,PQ,46870-1,0,RATHKEALE,RATHKEALE,1.0,5.0,5.0,IE,7.8114
4691,110.0,,,1.0405,PQ,,0,OLDBRIDGE,OLDBRIDGE,1.0,7.0,7.0,IE,-4.7136
4701,110.0,,,1.03472,PQ,47071-1,0,RICHMOND,RICHMOND,1.0,3.0,3.0,IE,0.7286
4711,110.0,,,1.03472,PQ,,0,RICHMOND,RICHMOND,1.0,3.0,3.0,IE,0.7286
4721,110.0,,,1.05198,PQ,,0,RAFFEEN,RAFFEEN,1.0,10.0,10.0,IE,12.9541
4722,220.0,,,1.05874,PQ,,0,RAFFEEN,RAFFEEN,1.0,10.0,10.0,IE,17.1446
4741,110.0,,,1.02425,PQ,,0,RINAWADE,RINAWADE,1.0,11.0,11.0,IE,-4.5134
4761,110.0,,,1.06453,PQ,,0,RINGASKIDDY,RINGASKIDDY,1.0,10.0,10.0,IE,12.8524
4781,110.0,,,1.05016,PQ,47871-1,0,RATRUSSAN,RATRUSSAN,1.0,7.0,7.0,IE,-4.7878
4791,110.0,,,1.03601,PQ,47971-1,0,RATHNASKILLO,RATHNASKILLO,1.0,12.0,12.0,IE,9.5427
4901,110.0,,,1.03884,PQ,,0,SHELTON ABBE,SHELTON ABBE,1.0,9.0,9.0,IE,1.8992
4922,220.0,,,1.0501,PQ,49271-1,0,SOUTHBANK,SOUTHBANK,1.0,11.0,11.0,IE,-1.0165
4941,110.0,,,1.05891,PQ,49451-1,0,SHANNONBRIDG,SHANNONBRIDG,1.0,3.0,3.0,IE,10.3941
4942,220.0,,,1.05,PQ,,0,SHANNONBRIDG,SHANNONBRIDG,1.0,3.0,3.0,IE,9.331
4943,220.0,,,1.05,PQ,,0,SHANNONBRIDG,SHANNONBRIDG,1.0,3.0,3.0,IE,9.331
4951,110.0,,,1.06772,PQ,49571-1,0,SALTHILL,SALTHILL,1.0,2.0,2.0,IE,4.2888
